query_id,answer_relevancy,faithfulness,deepeval_timestamp
1,0.5,0.5,2026-05-19T17:36:45.342450
2,0.5,0.5,2026-05-19T17:36:45.959747
3,0.5,0.5,2026-05-19T17:36:46.636201
4,0.5,0.5,2026-05-19T17:36:47.151017
5,0.5,0.5,2026-05-19T17:36:47.843687
6,0.5,0.5,2026-05-19T17:36:48.387117
